iter	MAE	RMSE
208	0.5801078965	0.777741824
209	0.5798662731	0.7775474199
210	0.5798069175	0.7774612207
211	0.579474683	0.7770540619
212	0.5791898745	0.7766829257
213	0.5789443737	0.7764624664
214	0.5788273639	0.7763334973
215	0.5787267581	0.7762433917
216	0.5785853484	0.7760651743
217	0.5784243637	0.7758893603
218	0.5782347456	0.7757391675
219	0.5781883101	0.7757206426
220	0.5778954648	0.7753457657
221	0.5777777227	0.7752714448
222	0.5772617453	0.7748035312
223	0.5770184128	0.7745577996
224	0.5766478595	0.7742012169
225	0.5764343638	0.773928455
226	0.5761731236	0.7736643071
227	0.5759534252	0.7734457548
228	0.5758218703	0.7731689565
229	0.5755192567	0.7727158516
230	0.5752465603	0.7724466179
231	0.5751357147	0.7723634917
232	0.5749144144	0.7721701004
233	0.5746572116	0.7719099185
234	0.5746569173	0.771909916
235	0.5742261744	0.7714489718
236	0.5740954371	0.771284624
237	0.5740489307	0.7712453933
238	0.57359274	0.7708414291
239	0.5734977454	0.7707427129
240	0.5733024651	0.7705076169
241	0.5730141708	0.7701644297
242	0.5729258542	0.7700067711
243	0.5729158839	0.7699833607
244	0.5727967538	0.7698357065
245	0.5727253726	0.7697824717
246	0.5724919618	0.7695001877
247	0.5722685305	0.7692614408
248	0.5719186853	0.7688229315
249	0.5718607836	0.7687904166
250	0.571732091	0.76864881
251	0.5715289113	0.7683479279
252	0.5713578228	0.7681914086
253	0.5711005727	0.7679548587
254	0.5708322587	0.7677605106
255	0.5708208171	0.7677531658
256	0.5708181665	0.7677515164
257	0.5704835162	0.767421786
258	0.5702874552	0.7672057485
259	0.5700695028	0.7670602785
260	0.5697628876	0.766771647
261	0.5695792188	0.7666210617
262	0.5694020555	0.7664575149
263	0.5691575095	0.7661990964
264	0.568983923	0.7659688866
265	0.5687160872	0.7656242942
266	0.5684784296	0.7654655902
267	0.568112985	0.7651268882
268	0.5679020995	0.7648960884
269	0.5676849219	0.7647463908
270	0.5674140863	0.7644409648
271	0.5671032754	0.764059146
272	0.5670504711	0.7639911362
273	0.5668330393	0.7637165859
274	0.566672204	0.763561246
275	0.5663906719	0.7632735568
276	0.566393111	0.7632695379
277	0.5663252176	0.7631529791
278	0.5660741639	0.7629183764
279	0.5659211573	0.7627730294
280	0.5657814038	0.7625898471
281	0.5657040749	0.762486932
282	0.5656863744	0.7624656397
283	0.5654467338	0.7622734889
284	0.5653418238	0.7621612432
285	0.5650980526	0.7618274877
286	0.56508665	0.7617996452
287	0.5648217569	0.7614888444
288	0.5646908694	0.7613287858
289	0.5646601334	0.7613111262
290	0.564521001	0.7611157638
291	0.5643572301	0.7608823387
292	0.5639660453	0.7603507672
293	0.5639615506	0.7603425709
294	0.5638708906	0.7603074909
295	0.5636234517	0.7600571269
296	0.5633804232	0.7597863768
297	0.5632434926	0.7596457949
298	0.5630817585	0.7594381202
299	0.5628373898	0.7592504437
300	0.5625116463	0.7588920766
301	0.5623095172	0.7587585682
302	0.5621022438	0.7585180435
303	0.5618601287	0.7581688744
304	0.5617749896	0.7580750466
305	0.5616925757	0.7579754757
306	0.5616868577	0.7579685756
307	0.5615008676	0.7578057411
308	0.5613997794	0.757693529
309	0.5612428737	0.7575154095
310	0.5610462767	0.7573262869
311	0.5609713338	0.7572730244
312	0.5607940991	0.757044689
313	0.5606373431	0.756921348
314	0.5602063825	0.7564132217
315	0.5601006697	0.7563192699
316	0.5600771838	0.7562902784
317	0.5599801379	0.7562078057
318	0.5598146054	0.7560438868
319	0.559705794	0.7559114173
320	0.5593814315	0.7555355664
321	0.5592434519	0.7553590755
322	0.5589635108	0.7551519303
323	0.5587500741	0.754899178
324	0.5585773859	0.7546124641
325	0.5584653696	0.7545074556
326	0.5583912224	0.75440357
327	0.558303225	0.7542474885
328	0.5581798409	0.7540754211
