iter	Passed	Remaining
399	16957	67829
400	16969	67665
401	17009	67616
402	17030	67487
403	17068	67430
404	17112	67392
405	17149	67332
406	17155	67145
407	17191	67081
408	17226	67008
409	17262	66944
410	17299	66881
411	17346	66860
412	17382	66794
413	17415	66717
414	17451	66652
415	17484	66577
416	17524	66527
417	17562	66469
418	17590	66374
419	17603	66223
420	17642	66170
421	17676	66096
422	17717	66053
423	17757	66003
424	17792	65935
425	17827	65870
426	17869	65830
427	17912	65790
428	17947	65722
429	17984	65664
430	18021	65606
431	18056	65539
432	18093	65478
433	18137	65445
434	18173	65382
435	18210	65324
436	18250	65275
437	18283	65203
438	18323	65155
439	18364	65111
440	18403	65057
441	18434	64981
442	18470	64917
443	18505	64852
444	18540	64787
445	18584	64752
446	18635	64745
447	18692	64755
448	18745	64754
449	18789	64720
450	18833	64685
451	18874	64640
452	18912	64584
453	18930	64462
454	18954	64362
455	18987	64292
456	19023	64230
457	19060	64171
458	19075	64041
459	19116	63997
460	19161	63967
461	19188	63877
462	19223	63813
463	19262	63765
464	19298	63705
465	19333	63642
466	19374	63599
467	19415	63555
468	19425	63413
469	19464	63362
470	19499	63301
471	19536	63245
472	19572	63184
473	19608	63128
474	19647	63080
475	19686	63028
476	19734	63008
477	19780	62983
478	19818	62930
479	19828	62789
480	19866	62738
481	19901	62678
482	19940	62629
483	19978	62576
484	19993	62454
485	20033	62409
486	20074	62366
487	20113	62318
488	20154	62277
489	20199	62246
490	20233	62184
491	20270	62128
492	20304	62065
493	20343	62017
494	20379	61962
495	20421	61923
496	20456	61863
497	20490	61801
498	20503	61675
499	20540	61621
500	20577	61568
501	20619	61530
502	20666	61507
503	20704	61455
504	20737	61390
505	20777	61347
506	20824	61322
507	20834	61189
508	20867	61126
509	20903	61071
510	20939	61016
511	20975	60960
512	21013	60911
513	21035	60814
514	21072	60761
515	21106	60702
516	21144	60651
517	21182	60603
518	21228	60577
519	21263	60519
520	21275	60395
521	21312	60345
522	21349	60292
523	21385	60237
524	21435	60222
525	21470	60167
526	21508	60117
527	21545	60064
528	21583	60018
529	21622	59971
530	21645	59882
531	21666	59787
532	21702	59732
533	21738	59679
534	21773	59621
535	21816	59588
536	21853	59537
537	21889	59484
538	21924	59428
539	21968	59395
540	22003	59340
541	22039	59287
542	22074	59229
543	22110	59178
544	22145	59122
545	22179	59063
546	22227	59043
547	22264	58992
548	22298	58935
549	22309	58816
550	22345	58762
551	22383	58715
552	22447	58735
553	22456	58614
554	22491	58559
555	22525	58502
556	22564	58458
557	22603	58411
558	22643	58370
559	22683	58329
560	22695	58216
561	22735	58174
562	22771	58121
563	22793	58034
564	22834	57996
565	22874	57954
566	22911	57903
567	22948	57855
568	22965	57756
569	23001	57705
570	23013	57593
571	23047	57538
572	23087	57497
573	23123	57444
574	23160	57398
575	23201	57360
576	23284	57424
577	23353	57454
578	23411	57457
579	23459	57436
580	23515	57433
581	23559	57400
582	23597	57354
583	23633	57302
584	23645	57194
585	23685	57152
586	23721	57100
587	23754	57043
588	23791	56994
589	23829	56947
590	23870	56910
591	23917	56884
592	23953	56835
593	23993	56793
594	24030	56745
595	24067	56696
596	24101	56641
597	24136	56588
598	24174	56542
599	24184	56431
600	24217	56373
601	24251	56318
602	24297	56290
603	24333	56241
604	24370	56192
605	24405	56141
606	24440	56087
607	24484	56057
608	24532	56034
609	24576	56003
610	24632	55996
611	24682	55980
612	24729	55954
613	24771	55918
614	24815	55885
615	24859	55852
616	24915	55847
617	24970	55839
618	25000	55776
619	25059	55776
620	25103	55745
621	25148	55714
622	25187	55670
623	25218	55609
624	25258	55568
625	25298	55526
626	25356	55526
627	25400	55492
628	25443	55458
629	25481	55411
630	25523	55375
631	25581	55373
632	25636	55363
633	25678	55326
634	25725	55299
635	25770	55269
636	25811	55228
637	25855	55196
638	25893	55150
639	25949	55143
640	26010	55145
641	26057	55118
642	26104	55090
643	26153	55067
644	26194	55029
645	26236	54992
646	26279	54956
647	26318	54911
648	26361	54875
649	26381	54792
650	26401	54709
651	26459	54705
652	26516	54696
653	26605	54756
654	26656	54737
655	26700	54702
656	26744	54670
657	26756	54570
658	26793	54522
659	26830	54473
660	26865	54421
661	26903	54375
662	26940	54328
663	26985	54296
664	27025	54253
665	27054	54189
666	27095	54149
667	27131	54101
668	27165	54046
669	27201	53997
670	27238	53948
671	27276	53903
672	27312	53854
673	27350	53807
674	27395	53776
675	27424	53713
676	27459	53661
677	27496	53613
678	27534	53569
679	27573	53525
680	27686	53624
681	27726	53583
682	27764	53536
683	27798	53483
684	27833	53431
685	27866	53376
686	27895	53314
687	27931	53265
688	27966	53213
689	28012	53183
690	28054	53145
691	28064	53046
692	28099	52995
693	28137	52950
694	28174	52903
695	28215	52863
696	28226	52767
697	28259	52714
698	28296	52666
699	28334	52620
700	28365	52563
701	28403	52518
702	28445	52481
703	28483	52436
704	28522	52392
705	28570	52364
706	28611	52325
707	28647	52276
708	28685	52233
709	28730	52200
710	28770	52159
711	28813	52123
712	28864	52102
713	28901	52054
714	28940	52011
715	28975	51962
716	29012	51915
717	29048	51866
718	29070	51792
719	29111	51752
720	29145	51701
721	29182	51655
722	29216	51603
723	29251	51554
724	29296	51521
725	29335	51478
726	29370	51429
727	29407	51382
728	29443	51334
729	29480	51287
730	29519	51245
731	29557	51201
732	29597	51159
733	29638	51119
734	29686	51092
735	29746	51086
736	29781	51036
737	29817	50989
738	29854	50942
739	29890	50893
740	29925	50844
741	29961	50796
742	30000	50755
743	30039	50712
744	30078	50668
745	30123	50636
746	30159	50589
747	30197	50544
748	30232	50495
749	30269	50448
750	30304	50400
751	30339	50350
752	30374	50301
753	30410	50254
754	30444	50203
755	30479	50154
756	30512	50101
757	30555	50066
758	30593	50022
759	30627	49971
760	30664	49925
761	30709	49893
762	30746	49847
763	30798	49826
